Co2 Data from 2017/3/3 13:47:15
Sensor is K30 FR from Co2meter.com, In Grey Box

Time(Unix)	Co2(ppm)
1488548835	418
1488548836	419
1488548837	419
1488548838	421
1488548840	421
1488548841	421
1488548842	422
1488548843	424
1488548844	423
1488548845	424
1488548846	424
1488548847	424
1488548848	424
1488548849	424
1488548850	424
1488548851	424
1488548853	424
1488548854	424
1488548855	424
1488548856	424
1488548857	424
1488548858	424
1488548859	424
1488548860	424
1488548861	424
1488548862	424
1488548863	425
1488548864	425
1488548865	425
1488548866	425
1488548868	425
1488548869	425
1488548870	426
1488548871	426
1488548872	426
1488548873	426
1488548874	427
1488548875	427
1488548876	427
1488548877	427
1488548878	427
1488548879	427
1488548880	427
1488548881	427
1488548883	428
1488548884	428
1488548885	427
1488548886	428
1488548887	428
1488548888	428
1488548889	428
1488548890	429
1488548891	429
1488548892	429
1488548893	429
1488548894	429
1488548896	428
1488548897	428
1488548898	429
1488548899	429
1488548900	429
1488548901	429
1488548902	429
1488548903	429
1488548904	429
1488548905	429
1488548906	429
1488548907	429
1488548908	429
1488548910	429
1488548911	429
1488548912	429
1488548913	429
1488548914	429
1488548915	429
1488548916	430
1488548917	430
1488548918	430
1488548919	430
1488548920	430
1488548921	430
1488548922	430
1488548924	430
1488548925	430
1488548926	430
1488548927	430
1488548928	430
1488548929	430
1488548930	430
1488548931	430
1488548932	430
1488548933	430
1488548934	430
1488548935	430
1488548937	430
1488548938	430
1488548939	430
1488548940	430
1488548941	429
1488548942	429
1488548943	429
1488548944	429
1488548945	429
1488548946	429
1488548947	429
1488548948	429
1488548949	429
1488548951	430
1488548952	430
1488548953	430
1488548954	430
1488548955	430
1488548956	430
1488548957	430
1488548958	430
1488548959	430
1488548960	430
1488548961	430
1488548962	430
1488548963	430
1488548965	430
1488548966	430
1488548967	430
1488548968	430
1488548969	431
1488548970	431
1488548971	431
1488548972	431
1488548973	431
1488548974	431
1488548975	431
1488548976	431
1488548977	432
1488548979	432
1488548980	432
1488548981	432
1488548982	432
1488548983	432
1488548984	432
1488548985	431
1488548986	431
1488548987	431
1488548988	431
1488548989	431
1488548990	431
1488548991	431
1488548993	431
1488548994	432
1488548995	432
1488548996	432
1488548997	432
1488548998	432
1488548999	432
1488549000	432
1488549001	432
1488549002	431
1488549003	431
1488549004	431
1488549005	431
1488549006	431
1488549008	431
1488549009	431
1488549010	431
1488549011	431
1488549012	431
1488549013	431
1488549014	431
1488549015	431
1488549016	431
1488549017	431
1488549018	431
1488549019	431
1488549020	431
1488549021	431
1488549023	431
1488549024	431
1488549025	431
1488549026	431
1488549027	432
1488549028	432
1488549029	431
1488549030	431
1488549031	431
1488549032	431
1488549033	431
1488549034	431
1488549035	431
1488549037	431
1488549038	431
1488549039	431
1488549040	431
1488549041	431
1488549042	430
1488549043	430
1488549044	430
1488549045	430
1488549046	430
1488549047	430
1488549048	431
1488549049	431
1488549051	431
1488549052	431
1488549053	431
1488549054	431
1488549055	431
1488549056	431
1488549057	431
1488549058	431
1488549059	431
1488549060	431
1488549061	431
1488549062	431
1488549063	431
1488549065	431
1488549066	431
1488549067	431
1488549068	431
1488549069	431
1488549070	431
1488549071	431
1488549072	431
1488549073	431
1488549074	431
1488549075	431
1488549076	431
1488549077	431
1488549079	431
1488549080	431
1488549081	431
1488549082	431
1488549083	431
1488549084	431
1488549085	431
1488549086	431
1488549087	431
1488549088	431
1488549089	431
1488549090	431
1488549091	432
1488549093	432
1488549094	432
1488549095	432
1488549096	432
1488549097	432
1488549098	432
1488549099	432
1488549100	432
1488549101	432
1488549102	432
1488549103	432
1488549104	432
1488549105	432
1488549107	432
1488549108	432
1488549109	432
1488549110	432
1488549111	432
1488549112	432
1488549113	432
1488549114	432
1488549115	431
1488549116	432
1488549117	432
1488549118	432
1488549119	432
1488549121	431
1488549122	431
1488549123	431
1488549124	431
1488549125	431
1488549126	431
1488549127	431
1488549128	431
1488549129	432
1488549130	432
1488549131	432
1488549132	432
1488549133	432
1488549134	432
1488549136	432
1488549137	432
1488549138	432
1488549139	432
1488549140	432
1488549141	432
1488549142	432
1488549143	432
1488549144	432
1488549145	432
1488549146	432
1488549147	432
1488549148	432
1488549149	432
1488549151	432
1488549152	432
1488549153	432
1488549154	432
1488549155	432
1488549156	432
1488549157	432
1488549158	432
1488549159	432
1488549160	432
1488549161	432
1488549162	432
1488549164	432
1488549165	432
1488549166	432
1488549167	433
1488549168	433
1488549169	433
1488549170	433
1488549171	433
1488549172	433
1488549173	433
1488549174	433
1488549175	433
1488549177	433
1488549178	433
1488549179	433
1488549180	433
1488549181	433
1488549182	433
1488549183	433
1488549184	433
1488549185	433
1488549186	433
1488549187	433
1488549188	433
1488549189	433
1488549191	432
1488549192	432
1488549193	432
1488549194	432
1488549195	432
1488549196	432
1488549197	432
1488549198	432
1488549199	432
1488549200	432
1488549201	432
1488549202	432
1488549203	432
1488549204	432
1488549206	432
1488549207	432
1488549208	432
1488549209	432
1488549210	432
1488549211	431
1488549212	431
1488549213	431
1488549214	431
1488549215	431
1488549216	431
1488549217	431
1488549219	431
1488549220	431
1488549221	431
1488549222	431
1488549223	431
1488549224	431
1488549225	432
1488549226	432
1488549227	432
1488549228	432
1488549229	432
1488549231	432
1488549232	432
1488549233	432
1488549234	432
1488549235	432
1488549236	432
