,sensor [K-30 FR],,
,CO2,,,
03/03/17 19:48:33.326,"434",,
03/03/17 19:48:34.326,"435",,
03/03/17 19:48:35.326,"435",,
03/03/17 19:48:36.326,"435",,
03/03/17 19:48:37.326,"436",,
03/03/17 19:48:38.326,"437",,
03/03/17 19:48:39.326,"437",,
03/03/17 19:48:40.326,"437",,
03/03/17 19:48:41.326,"437",,
03/03/17 19:48:42.326,"435",,
03/03/17 19:48:43.326,"435",,
03/03/17 19:48:44.326,"436",,
03/03/17 19:48:45.326,"437",,
03/03/17 19:48:46.326,"437",,
03/03/17 19:48:47.326,"437",,
03/03/17 19:48:48.326,"437",,
03/03/17 19:48:49.326,"437",,
03/03/17 19:48:50.326,"437",,
03/03/17 19:48:51.326,"438",,
03/03/17 19:48:52.326,"436",,
03/03/17 19:48:53.326,"436",,
03/03/17 19:48:54.327,"436",,
03/03/17 19:48:55.326,"437",,
03/03/17 19:48:56.326,"437",,
03/03/17 19:48:57.326,"437",,
03/03/17 19:48:58.326,"437",,
03/03/17 19:48:59.326,"438",,
03/03/17 19:49:00.327,"439",,
03/03/17 19:49:01.326,"438",,
03/03/17 19:49:02.326,"437",,
03/03/17 19:49:03.326,"437",,
03/03/17 19:49:04.326,"436",,
03/03/17 19:49:05.327,"435",,
03/03/17 19:49:06.326,"435",,
03/03/17 19:49:07.326,"435",,
03/03/17 19:49:08.326,"435",,
03/03/17 19:49:09.327,"435",,
03/03/17 19:49:10.326,"435",,
03/03/17 19:49:11.326,"436",,
03/03/17 19:49:12.326,"436",,
03/03/17 19:49:13.327,"437",,
03/03/17 19:49:14.326,"437",,
03/03/17 19:49:15.327,"437",,
03/03/17 19:49:16.326,"437",,
03/03/17 19:49:17.326,"437",,
03/03/17 19:49:18.326,"437",,
03/03/17 19:49:19.326,"437",,
03/03/17 19:49:20.326,"437",,
03/03/17 19:49:21.326,"437",,
03/03/17 19:49:22.326,"437",,
03/03/17 19:49:22.326,"437",,
03/03/17 19:49:23.326,"437",,
03/03/17 19:49:24.326,"437",,
03/03/17 19:49:25.326,"438",,
03/03/17 19:49:26.326,"438",,
03/03/17 19:49:27.326,"438",,
03/03/17 19:49:28.326,"438",,
03/03/17 19:49:29.326,"438",,
03/03/17 19:49:30.326,"438",,
03/03/17 19:49:31.326,"438",,
03/03/17 19:49:32.326,"438",,
03/03/17 19:49:33.326,"439",,
03/03/17 19:49:34.326,"438",,
03/03/17 19:49:35.326,"438",,
03/03/17 19:49:36.326,"439",,
03/03/17 19:49:37.327,"439",,
03/03/17 19:49:38.326,"438",,
03/03/17 19:49:39.326,"433",,
03/03/17 19:49:40.326,"430",,
03/03/17 19:49:41.326,"432",,
03/03/17 19:49:42.326,"432",,
03/03/17 19:49:43.326,"430",,
03/03/17 19:49:44.326,"430",,
03/03/17 19:49:45.326,"430",,
03/03/17 19:49:46.326,"431",,
03/03/17 19:49:47.326,"431",,
03/03/17 19:49:48.326,"433",,
03/03/17 19:49:49.326,"434",,
03/03/17 19:49:50.326,"434",,
03/03/17 19:49:51.326,"434",,
03/03/17 19:49:52.326,"433",,
03/03/17 19:49:53.326,"434",,
03/03/17 19:49:54.326,"435",,
03/03/17 19:49:55.326,"433",,
03/03/17 19:49:56.326,"432",,
03/03/17 19:49:57.326,"432",,
03/03/17 19:49:58.327,"431",,
03/03/17 19:49:59.326,"432",,
03/03/17 19:50:00.326,"433",,
03/03/17 19:50:01.326,"433",,
03/03/17 19:50:02.326,"432",,
03/03/17 19:50:03.326,"433",,
03/03/17 19:50:04.326,"433",,
03/03/17 19:50:05.326,"434",,
03/03/17 19:50:06.326,"436",,
03/03/17 19:50:07.326,"436",,
03/03/17 19:50:08.326,"436",,
03/03/17 19:50:09.326,"437",,
03/03/17 19:50:10.326,"437",,
03/03/17 19:50:11.326,"437",,
03/03/17 19:50:12.327,"437",,
03/03/17 19:50:13.326,"438",,
03/03/17 19:50:13.326,"438",,
03/03/17 19:50:14.326,"438",,
03/03/17 19:50:15.326,"437",,
03/03/17 19:50:16.326,"435",,
03/03/17 19:50:17.326,"435",,
03/03/17 19:50:18.326,"436",,
03/03/17 19:50:19.326,"437",,
03/03/17 19:50:20.326,"437",,
03/03/17 19:50:21.326,"436",,
03/03/17 19:50:22.326,"436",,
03/03/17 19:50:23.326,"437",,
03/03/17 19:50:24.326,"437",,
03/03/17 19:50:25.327,"438",,
03/03/17 19:50:26.326,"439",,
03/03/17 19:50:27.326,"439",,
03/03/17 19:50:28.326,"438",,
03/03/17 19:50:29.326,"436",,
03/03/17 19:50:30.326,"435",,
03/03/17 19:50:31.327,"436",,
03/03/17 19:50:32.326,"436",,
03/03/17 19:50:33.327,"434",,
03/03/17 19:50:34.326,"433",,
03/03/17 19:50:35.326,"433",,
03/03/17 19:50:36.326,"432",,
03/03/17 19:50:37.326,"433",,
03/03/17 19:50:38.326,"433",,
03/03/17 19:50:39.326,"432",,
03/03/17 19:50:40.326,"432",,
03/03/17 19:50:41.326,"433",,
03/03/17 19:50:42.327,"432",,
03/03/17 19:50:43.326,"433",,
03/03/17 19:50:44.326,"434",,
03/03/17 19:50:45.327,"434",,
03/03/17 19:50:46.326,"435",,
03/03/17 19:50:47.327,"435",,
03/03/17 19:50:48.327,"436",,
03/03/17 19:50:49.326,"435",,
03/03/17 19:50:50.326,"437",,
03/03/17 19:50:51.327,"437",,
03/03/17 19:50:52.326,"438",,
03/03/17 19:50:53.326,"438",,
03/03/17 19:50:54.326,"439",,
03/03/17 19:50:55.327,"438",,
03/03/17 19:50:56.326,"435",,
03/03/17 19:50:57.326,"434",,
03/03/17 19:50:58.326,"435",,
03/03/17 19:50:59.326,"436",,
03/03/17 19:51:00.326,"434",,
03/03/17 19:51:01.326,"433",,
03/03/17 19:51:02.326,"435",,
03/03/17 19:51:03.327,"437",,
03/03/17 19:51:04.326,"438",,
03/03/17 19:51:04.326,"438",,
03/03/17 19:51:05.326,"437",,
03/03/17 19:51:06.326,"437",,
03/03/17 19:51:07.326,"436",,
03/03/17 19:51:08.326,"434",,
03/03/17 19:51:09.326,"434",,
03/03/17 19:51:10.326,"435",,
03/03/17 19:51:11.327,"434",,
03/03/17 19:51:12.326,"434",,
03/03/17 19:51:13.326,"434",,
03/03/17 19:51:14.326,"432",,
03/03/17 19:51:15.326,"430",,
03/03/17 19:51:16.326,"432",,
03/03/17 19:51:17.326,"433",,
03/03/17 19:51:18.326,"434",,
03/03/17 19:51:19.326,"435",,
03/03/17 19:51:20.326,"436",,
03/03/17 19:51:21.326,"435",,
03/03/17 19:51:22.326,"435",,
03/03/17 19:51:23.326,"435",,
03/03/17 19:51:24.327,"436",,
03/03/17 19:51:25.326,"436",,
03/03/17 19:51:26.326,"435",,
03/03/17 19:51:27.326,"435",,
03/03/17 19:51:28.326,"436",,
03/03/17 19:51:29.326,"436",,
03/03/17 19:51:30.326,"435",,
03/03/17 19:51:31.326,"435",,
03/03/17 19:51:32.326,"435",,
03/03/17 19:51:33.326,"434",,
03/03/17 19:51:34.326,"434",,
03/03/17 19:51:35.326,"434",,
03/03/17 19:51:36.326,"434",,
03/03/17 19:51:37.326,"434",,
03/03/17 19:51:38.326,"435",,
03/03/17 19:51:39.326,"435",,
03/03/17 19:51:40.326,"435",,
03/03/17 19:51:41.327,"435",,
03/03/17 19:51:42.326,"435",,
03/03/17 19:51:43.326,"436",,
03/03/17 19:51:44.326,"435",,
03/03/17 19:51:45.326,"435",,
03/03/17 19:51:46.326,"435",,
03/03/17 19:51:47.326,"435",,
03/03/17 19:51:48.326,"435",,
03/03/17 19:51:49.326,"435",,
03/03/17 19:51:50.326,"435",,
03/03/17 19:51:51.326,"435",,
03/03/17 19:51:52.326,"435",,
03/03/17 19:51:53.326,"434",,
03/03/17 19:51:54.326,"434",,
03/03/17 19:51:55.326,"434",,
03/03/17 19:51:55.326,"434",,
03/03/17 19:51:56.326,"434",,
03/03/17 19:51:57.326,"435",,
03/03/17 19:51:58.326,"435",,
03/03/17 19:51:59.327,"435",,
03/03/17 19:52:00.327,"434",,
03/03/17 19:52:01.326,"434",,
03/03/17 19:52:02.326,"434",,
03/03/17 19:52:03.326,"434",,
03/03/17 19:52:04.327,"434",,
03/03/17 19:52:05.326,"430",,
03/03/17 19:52:06.326,"431",,
03/03/17 19:52:07.326,"431",,
03/03/17 19:52:08.326,"431",,
03/03/17 19:52:09.326,"432",,
03/03/17 19:52:10.326,"432",,
03/03/17 19:52:11.326,"433",,
03/03/17 19:52:12.326,"433",,
03/03/17 19:52:13.327,"433",,
03/03/17 19:52:14.326,"433",,
03/03/17 19:52:15.326,"433",,
03/03/17 19:52:16.326,"433",,
03/03/17 19:52:17.326,"433",,
03/03/17 19:52:18.326,"434",,
03/03/17 19:52:19.326,"434",,
03/03/17 19:52:20.326,"435",,
03/03/17 19:52:21.326,"435",,
03/03/17 19:52:22.326,"435",,
03/03/17 19:52:23.326,"434",,
03/03/17 19:52:24.326,"434",,
03/03/17 19:52:25.326,"434",,
03/03/17 19:52:26.326,"435",,
03/03/17 19:52:27.326,"434",,
03/03/17 19:52:28.326,"434",,
03/03/17 19:52:29.326,"434",,
03/03/17 19:52:30.326,"434",,
03/03/17 19:52:31.326,"433",,
03/03/17 19:52:32.326,"433",,
03/03/17 19:52:33.326,"434",,
03/03/17 19:52:34.327,"434",,
03/03/17 19:52:35.326,"434",,
03/03/17 19:52:36.326,"434",,
03/03/17 19:52:37.326,"435",,
03/03/17 19:52:38.326,"435",,
03/03/17 19:52:39.326,"435",,
03/03/17 19:52:40.326,"435",,
03/03/17 19:52:41.327,"435",,
03/03/17 19:52:42.326,"435",,
03/03/17 19:52:43.326,"435",,
03/03/17 19:52:44.326,"435",,
03/03/17 19:52:45.326,"436",,
03/03/17 19:52:46.326,"435",,
03/03/17 19:52:46.326,"435",,
03/03/17 19:52:47.326,"436",,
03/03/17 19:52:48.326,"437",,
03/03/17 19:52:49.326,"437",,
03/03/17 19:52:50.326,"437",,
03/03/17 19:52:51.326,"437",,
03/03/17 19:52:52.326,"436",,
03/03/17 19:52:53.327,"435",,
03/03/17 19:52:54.326,"435",,
03/03/17 19:52:55.326,"435",,
03/03/17 19:52:56.326,"436",,
03/03/17 19:52:57.326,"437",,
03/03/17 19:52:58.326,"437",,
03/03/17 19:52:59.326,"436",,
03/03/17 19:53:00.326,"436",,
03/03/17 19:53:01.326,"436",,
03/03/17 19:53:02.326,"435",,
03/03/17 19:53:03.326,"435",,
03/03/17 19:53:04.327,"434",,
03/03/17 19:53:05.326,"434",,
03/03/17 19:53:06.326,"434",,
03/03/17 19:53:07.326,"435",,
03/03/17 19:53:08.326,"436",,
03/03/17 19:53:09.326,"436",,
03/03/17 19:53:10.326,"437",,
03/03/17 19:53:11.327,"436",,
03/03/17 19:53:12.326,"436",,
03/03/17 19:53:13.326,"437",,
03/03/17 19:53:14.327,"437",,
03/03/17 19:53:15.326,"437",,
03/03/17 19:53:16.326,"437",,
