Co2 Data from 2017/3/29 12:30:50
Sensor is K30 FR from Co2meter.com, In Blue Box

Time(Unix)	Co2(ppm)
1490790650	1226
1490790651	1131
1490790652	1045
1490790653	961
1490790654	900
1490790655	843
1490790656	801
1490790658	734
1490790659	693
1490790660	660
1490790661	638
1490790662	619
1490790663	599
1490790664	571
1490790665	556
1490790666	545
1490790667	537
1490790668	527
1490790669	519
1490790671	513
1490790672	503
1490790673	497
1490790674	490
1490790675	483
1490790676	476
1490790677	469
1490790678	456
1490790679	451
1490790680	445
1490790681	445
1490790682	443
1490790684	440
1490790685	437
1490790686	435
1490790687	432
1490790688	430
1490790689	428
1490790690	427
1490790691	428
1490790692	433
1490790693	444
1490790694	462
1490790695	487
1490790696	511
1490790698	515
1490790699	514
1490790700	508
1490790701	504
1490790702	501
1490790703	498
1490790704	500
1490790705	503
1490790706	509
1490790707	521
1490790708	542
1490790709	557
1490790711	566
1490790712	571
1490790713	574
1490790714	571
1490790715	564
1490790716	559
1490790717	556
1490790718	549
1490790719	535
1490790720	521
1490790721	511
1490790722	506
1490790724	500
1490790725	494
1490790726	489
1490790727	483
1490790728	481
1490790729	472
1490790730	465
1490790731	460
1490790732	456
1490790733	454
1490790734	450
1490790735	444
1490790736	438
1490790737	437
1490790739	434
1490790740	431
1490790741	429
1490790742	427
1490790743	428
1490790744	425
1490790745	421
1490790746	420
1490790747	420
1490790748	421
1490790749	418
1490790751	417
1490790752	416
1490790753	416
1490790754	416
1490790755	415
1490790756	414
1490790757	413
1490790758	413
1490790759	413
1490790760	412
1490790761	411
1490790762	410
1490790763	410
1490790765	410
1490790766	409
1490790767	409
1490790768	408
1490790769	408
1490790770	408
1490790771	407
1490790772	406
1490790773	406
1490790774	407
1490790775	407
1490790776	406
1490790777	406
1490790778	406
1490790780	406
1490790781	406
1490790782	406
1490790783	405
1490790784	405
1490790785	406
1490790786	406
1490790787	406
1490790788	405
1490790789	405
1490790790	406
1490790791	406
1490790792	405
1490790794	405
1490790795	404
1490790796	405
1490790797	405
1490790798	405
1490790799	404
1490790800	403
1490790801	404
1490790802	404
1490790803	404
1490790804	403
1490790805	403
1490790807	403
1490790808	404
1490790809	404
1490790810	403
1490790811	403
1490790812	403
1490790813	404
1490790814	404
1490790815	404
1490790816	404
1490790817	404
1490790818	404
1490790820	404
1490790821	403
1490790822	403
1490790823	404
1490790824	404
1490790825	404
1490790826	404
1490790827	403
1490790828	404
1490790829	404
1490790830	403
1490790831	403
1490790833	403
1490790834	403
1490790835	403
1490790836	403
1490790837	403
1490790838	403
1490790839	403
1490790840	403
1490790841	403
1490790842	403
1490790843	403
1490790844	404
1490790845	403
1490790847	403
1490790848	403
1490790849	403
1490790850	404
1490790851	404
1490790852	403
1490790853	403
1490790854	403
1490790855	404
1490790856	404
1490790857	403
1490790858	403
1490790859	403
1490790861	403
1490790862	404
1490790863	404
1490790864	404
1490790865	404
1490790866	404
1490790867	403
1490790868	403
1490790869	403
1490790870	403
1490790871	404
1490790872	404
1490790873	403
1490790875	403
1490790876	403
1490790877	404
1490790878	403
1490790879	403
1490790880	403
1490790881	403
1490790882	404
1490790883	403
1490790884	403
1490790885	403
1490790887	404
1490790888	403
1490790889	403
1490790890	403
1490790891	403
1490790892	403
1490790893	403
1490790894	403
1490790895	403
1490790896	403
1490790897	403
1490790898	403
1490790899	403
1490790901	403
1490790902	403
1490790903	403
1490790904	403
1490790905	403
1490790906	403
1490790907	403
1490790908	403
1490790909	403
1490790910	403
1490790911	403
1490790912	403
1490790913	402
1490790915	403
1490790916	403
1490790917	402
1490790918	402
1490790919	402
1490790920	402
1490790921	402
1490790922	402
1490790923	402
1490790924	402
1490790925	402
1490790926	402
1490790927	402
1490790929	402
1490790930	403
1490790931	402
1490790932	402
1490790933	402
1490790934	402
1490790935	403
1490790936	403
1490790937	403
1490790938	403
1490790939	403
1490790940	403
1490790941	403
1490790943	402
1490790944	402
1490790945	403
1490790946	403
1490790947	403
1490790948	403
1490790949	403
1490790950	403
1490790951	403
1490790952	403
1490790953	403
1490790955	403
1490790956	403
1490790957	403
1490790958	403
1490790959	403
1490790960	403
1490790961	403
1490790962	403
1490790963	403
1490790964	403
1490790965	402
1490790966	403
1490790968	402
1490790969	402
1490790970	402
1490790971	402
1490790972	402
1490790973	402
1490790974	402
1490790975	402
1490790976	402
1490790977	402
1490790978	403
1490790979	402
1490790980	402
1490790981	402
1490790983	402
1490790984	402
1490790985	402
1490790986	402
1490790987	402
1490790988	402
1490790989	402
1490790990	402
1490790991	402
1490790992	402
1490790993	402
1490790994	402
1490790996	402
1490790997	401
1490790998	401
1490790999	401
1490791000	402
1490791001	402
1490791002	401
1490791003	401
1490791004	401
1490791005	402
1490791006	402
1490791007	401
1490791009	401
1490791010	401
1490791011	402
1490791012	401
1490791013	401
1490791014	401
1490791015	401
1490791016	402
1490791017	402
1490791018	402
1490791019	402
1490791020	401
1490791021	402
1490791023	402
1490791024	401
1490791025	401
1490791026	401
1490791027	401
1490791028	401
1490791029	400
1490791030	400
1490791031	401
1490791032	401
1490791033	401
1490791034	400
1490791035	400
1490791037	401
1490791038	401
1490791039	400
1490791040	400
1490791041	400
1490791042	400
1490791043	400
1490791044	400
1490791045	400
1490791046	400
1490791047	401
1490791048	401
1490791050	401
1490791051	401
1490791052	401
1490791053	401
1490791054	401
1490791055	401
1490791056	401
1490791057	401
1490791058	401
1490791059	401
1490791060	401
1490791061	401
1490791062	401
1490791064	401
1490791065	400
1490791066	400
1490791067	400
1490791068	401
1490791069	400
1490791070	400
1490791071	400
1490791072	401
1490791073	401
1490791074	400
1490791075	400
1490791076	400
1490791077	401
1490791079	401
1490791080	400
1490791081	400
1490791082	400
1490791083	400
1490791084	400
1490791085	400
1490791086	400
1490791087	400
1490791088	400
1490791089	400
1490791090	400
1490791092	400
1490791093	400
1490791094	400
1490791095	400
1490791096	400
1490791097	400
1490791098	400
1490791099	401
1490791100	401
1490791101	401
1490791102	401
1490791103	401
1490791105	401
1490791106	400
1490791107	400
1490791108	400
1490791109	400
1490791110	400
1490791111	400
1490791112	400
1490791113	400
1490791114	401
1490791115	401
1490791116	401
1490791118	401
1490791119	401
1490791120	401
1490791121	401
1490791122	400
1490791123	400
1490791124	401
1490791125	401
1490791126	401
1490791127	400
1490791128	400
1490791129	400
1490791131	401
1490791132	401
1490791133	401
1490791134	401
1490791135	401
1490791136	401
1490791137	400
1490791138	400
1490791139	400
1490791140	400
1490791141	400
1490791142	400
1490791143	400
1490791145	401
1490791146	401
1490791147	401
1490791148	400
1490791149	401
1490791150	401
1490791151	401
1490791152	400
1490791153	400
1490791154	400
1490791155	400
1490791156	400
1490791157	400
1490791159	400
1490791160	400
1490791161	400
1490791162	400
1490791163	399
1490791164	400
1490791165	400
1490791166	400
1490791167	400
1490791168	400
1490791169	400
1490791171	400
1490791172	399
1490791173	399
1490791174	400
1490791175	400
1490791176	400
1490791177	400
1490791178	400
1490791179	400
1490791180	400
1490791181	400
1490791182	400
1490791184	400
1490791185	400
1490791186	400
1490791187	400
1490791188	401
1490791189	401
1490791190	400
1490791191	400
1490791192	400
1490791193	400
1490791194	400
1490791195	399
1490791196	399
1490791197	400
1490791199	400
1490791200	399
1490791201	399
1490791202	400
1490791203	400
1490791204	400
1490791205	400
1490791206	400
1490791207	401
1490791208	401
1490791209	400
1490791210	400
1490791211	400
1490791213	400
1490791214	400
1490791215	400
1490791216	400
1490791217	400
1490791218	400
1490791219	400
1490791220	400
1490791221	400
1490791222	400
1490791223	400
1490791224	400
1490791226	400
1490791227	400
1490791228	400
1490791229	400
1490791230	400
1490791231	400
1490791232	400
1490791233	400
1490791234	400
1490791235	400
1490791236	400
1490791237	400
1490791239	400
1490791240	399
1490791241	398
1490791242	398
1490791243	398
1490791244	398
1490791245	398
1490791246	399
1490791247	399
1490791248	398
1490791249	398
1490791250	399
1490791251	399
1490791253	399
1490791254	399
1490791255	398
1490791256	398
1490791257	398
1490791258	397
1490791259	397
1490791260	398
1490791261	398
1490791262	398
1490791263	397
1490791264	398
1490791266	398
1490791267	398
1490791268	398
1490791269	398
1490791270	398
1490791271	398
1490791272	398
1490791273	398
1490791274	398
1490791275	398
1490791276	398
1490791277	398
1490791279	398
1490791280	398
1490791281	398
1490791282	398
1490791283	398
1490791284	398
1490791285	398
1490791286	398
1490791287	398
1490791288	398
1490791289	398
1490791290	398
1490791291	398
1490791292	398
1490791294	398
