Co2 Data from 2017/3/29 12:34:0
Sensor is K30 FR from Co2meter.com, In Grey Box

Time(Unix)	Co2(ppm)
1490790840	509
1490790841	489
1490790841	483
1490790842	482
1490790842	475
1490790843	482
1490790843	493
1490790844	494
1490790845	492
1490790845	487
1490790846	482
1490790846	477
1490790847	475
1490790847	474
1490790848	469
1490790849	472
1490790849	474
1490790850	474
1490790850	474
1490790851	473
1490790851	473
1490790852	473
1490790853	474
1490790853	473
1490790854	472
1490790854	472
1490790855	472
1490790855	471
1490790856	471
1490790857	470
1490790857	469
1490790858	469
1490790858	469
1490790859	468
1490790859	468
1490790860	468
1490790861	468
1490790861	468
1490790862	468
1490790862	468
1490790863	468
1490790864	467
1490790864	467
1490790865	466
1490790865	466
1490790866	465
1490790866	464
1490790867	465
1490790868	465
1490790868	465
1490790869	465
1490790869	464
1490790870	463
1490790870	463
1490790871	463
1490790872	462
1490790872	461
1490790873	461
1490790873	463
1490790874	463
1490790874	463
1490790875	463
1490790876	462
1490790876	462
1490790877	463
1490790877	464
1490790878	466
1490790878	468
1490790879	474
1490790880	490
1490790880	576
1490790881	618
1490790881	644
1490790882	680
1490790882	716
1490790883	742
1490790884	740
1490790884	726
1490790885	681
1490790885	642
1490790886	604
1490790887	562
1490790887	546
1490790888	539
1490790888	529
1490790889	517
1490790890	504
1490790890	496
1490790891	546
1490790891	576
1490790892	587
1490790892	602
1490790893	625
1490790894	647
1490790894	654
1490790895	663
1490790895	662
1490790896	655
1490790896	644
1490790897	629
1490790898	606
1490790898	583
1490790899	548
1490790899	530
1490790900	515
1490790900	501
1490790901	495
1490790902	486
1490790902	477
1490790903	470
1490790903	469
1490790904	469
1490790904	466
1490790905	464
1490790906	462
1490790906	461
1490790907	460
1490790907	459
1490790908	458
1490790908	460
1490790909	461
1490790910	462
1490790910	461
1490790911	458
1490790911	456
1490790912	455
1490790913	455
1490790913	454
1490790914	454
1490790914	454
1490790915	454
1490790916	453
1490790916	453
1490790917	453
1490790917	453
1490790918	454
1490790918	454
1490790919	454
1490790920	455
1490790920	454
1490790921	454
1490790921	454
1490790922	454
1490790922	454
1490790923	453
1490790924	454
1490790924	454
1490790925	454
1490790925	453
1490790926	453
1490790926	453
1490790927	453
1490790928	452
1490790928	452
1490790929	452
1490790929	453
1490790930	453
1490790930	453
1490790931	453
1490790932	453
1490790932	453
1490790933	453
1490790933	452
1490790934	453
1490790935	453
1490790935	453
1490790936	453
1490790936	453
1490790937	453
1490790937	452
1490790938	452
1490790939	453
1490790939	453
1490790940	453
1490790940	453
1490790941	452
1490790941	452
1490790942	453
1490790943	452
1490790943	452
1490790944	452
1490790944	453
1490790945	453
1490790946	453
1490790946	453
1490790947	453
1490790947	452
1490790948	452
1490790948	452
1490790949	452
1490790950	452
1490790950	452
1490790951	452
1490790951	452
1490790952	452
1490790952	451
1490790953	451
1490790954	451
1490790954	451
1490790955	451
1490790955	452
1490790956	452
1490790957	452
1490790957	452
1490790958	452
1490790958	451
1490790959	451
1490790959	451
1490790960	452
1490790961	452
1490790961	452
1490790962	452
1490790962	452
1490790963	452
1490790963	452
1490790964	452
1490790965	452
1490790965	452
1490790966	452
1490790966	452
1490790967	452
1490790967	452
1490790968	452
1490790969	452
1490790969	452
1490790970	452
1490790970	452
1490790971	452
1490790971	452
1490790972	452
1490790973	452
1490790973	452
1490790974	452
1490790974	452
1490790975	452
1490790976	452
1490790976	452
1490790977	452
1490790977	452
1490790978	452
1490790978	452
1490790979	452
1490790980	452
1490790980	451
1490790981	451
1490790981	451
1490790982	451
1490790982	451
1490790983	452
1490790984	451
1490790984	452
1490790985	452
1490790985	451
1490790986	451
1490790986	451
1490790987	451
1490790988	452
1490790988	452
1490790989	452
1490790989	452
1490790990	452
1490790990	451
1490790991	452
1490790992	452
1490790992	452
1490790993	452
1490790993	452
1490790994	452
1490790994	452
1490790995	451
1490790996	450
1490790996	450
1490790997	449
1490790997	449
1490790998	450
1490790998	450
1490790999	450
1490791000	450
1490791000	450
1490791001	450
1490791001	450
1490791002	450
1490791003	450
1490791003	450
1490791004	450
1490791004	450
1490791005	450
1490791006	450
1490791006	450
1490791007	450
1490791007	450
1490791008	450
1490791008	451
1490791009	451
1490791010	451
1490791010	451
1490791011	451
1490791011	451
1490791012	451
1490791012	450
1490791013	450
1490791014	450
1490791014	450
1490791015	450
1490791015	451
1490791016	450
1490791016	450
1490791017	449
1490791018	449
1490791018	449
1490791019	449
1490791019	449
1490791020	450
1490791020	450
1490791021	449
1490791022	449
1490791022	449
1490791023	449
1490791023	449
1490791024	449
1490791024	449
1490791025	449
1490791026	449
1490791026	450
1490791027	451
1490791027	451
1490791028	451
1490791028	451
1490791029	451
1490791030	451
1490791030	451
1490791031	451
1490791031	451
1490791032	451
1490791033	451
1490791033	451
1490791034	451
1490791034	451
1490791035	451
1490791036	451
1490791036	451
1490791037	451
1490791037	451
1490791038	451
1490791038	451
1490791039	451
1490791040	451
1490791040	451
1490791041	451
1490791041	452
1490791042	452
1490791042	452
1490791043	452
1490791044	452
1490791044	452
1490791045	451
1490791045	452
1490791046	452
1490791046	452
1490791047	452
1490791048	453
1490791048	453
1490791049	452
1490791049	452
1490791050	452
1490791050	452
1490791051	451
1490791052	452
1490791052	451
1490791053	452
1490791053	451
1490791054	451
1490791054	451
1490791055	451
1490791056	451
1490791056	451
1490791057	451
1490791057	452
1490791058	452
1490791059	452
