Co2 Data from 2017/4/12 17:13:56
Sensor is K30 FR from Co2meter.com, In Blue Box

Time(Unix)	Co2(ppm)
1492017236	464
1492017237	464
1492017238	463
1492017239	463
1492017240	462
1492017241	461
1492017243	461
1492017244	460
1492017245	459
1492017246	458
1492017247	458
1492017248	457
1492017249	456
1492017250	455
1492017251	454
1492017252	454
1492017253	454
1492017254	454
1492017256	454
1492017257	454
1492017258	454
1492017259	453
1492017260	453
1492017261	453
1492017262	453
1492017263	453
1492017264	453
1492017265	453
1492017266	453
1492017267	453
1492017269	453
1492017270	452
1492017271	452
1492017272	452
1492017273	452
1492017274	452
1492017275	452
1492017276	452
1492017277	452
1492017278	452
1492017279	452
1492017280	452
1492017281	452
1492017282	452
1492017284	452
1492017285	452
1492017286	452
1492017287	451
1492017288	451
1492017289	451
1492017290	450
1492017291	450
1492017292	450
1492017293	451
1492017294	450
1492017295	450
1492017297	450
1492017298	451
1492017299	451
1492017300	451
1492017301	451
1492017302	451
1492017303	451
1492017304	451
1492017305	451
1492017306	451
1492017307	451
1492017308	451
1492017310	451
1492017311	451
1492017312	451
1492017313	451
1492017314	451
1492017315	451
1492017316	451
1492017317	451
1492017318	451
1492017319	451
1492017320	451
1492017321	451
1492017322	451
1492017324	451
1492017325	451
1492017326	452
1492017327	452
1492017328	452
1492017329	452
1492017330	452
1492017331	452
1492017332	452
1492017333	452
1492017334	452
1492017335	452
1492017336	452
1492017338	452
1492017339	452
1492017340	452
1492017341	452
1492017342	452
1492017343	452
1492017344	452
1492017345	452
1492017346	452
1492017347	452
1492017348	452
1492017349	452
1492017350	452
1492017352	453
1492017353	453
1492017354	453
1492017355	453
1492017356	453
1492017357	453
1492017358	453
1492017359	453
1492017360	452
1492017361	452
1492017362	452
1492017363	452
1492017365	452
1492017366	452
1492017367	452
1492017368	452
1492017369	452
1492017370	452
1492017371	452
1492017372	452
1492017373	452
1492017374	452
1492017375	452
1492017376	452
1492017378	452
1492017379	452
1492017380	453
1492017381	453
1492017382	453
1492017383	453
1492017384	453
1492017385	453
1492017386	453
1492017387	453
1492017388	454
1492017389	454
1492017390	454
1492017392	454
1492017393	454
1492017394	454
1492017395	454
1492017396	454
1492017397	454
1492017398	453
1492017399	453
1492017400	453
1492017401	453
1492017402	453
1492017403	453
1492017404	453
1492017406	453
1492017407	453
1492017408	453
1492017409	453
1492017410	453
1492017411	454
1492017412	453
1492017413	453
1492017414	453
1492017415	453
1492017416	454
1492017418	454
1492017419	454
1492017420	454
1492017421	454
1492017422	454
1492017423	454
1492017424	454
1492017425	454
1492017426	454
1492017427	454
1492017428	454
1492017429	454
1492017430	453
1492017432	452
1492017433	452
1492017434	452
1492017435	452
1492017436	453
1492017437	452
1492017438	452
1492017439	452
1492017440	453
1492017441	453
1492017442	453
1492017443	453
1492017444	453
1492017446	453
1492017447	453
1492017448	453
1492017449	453
1492017450	453
1492017451	453
1492017452	453
1492017453	453
1492017454	453
1492017455	453
1492017456	453
1492017457	453
1492017459	453
1492017460	453
1492017461	453
1492017462	453
1492017463	453
1492017464	453
1492017465	453
1492017466	453
1492017467	453
1492017468	453
1492017469	453
1492017470	453
1492017471	453
1492017473	453
1492017474	453
1492017475	453
1492017476	453
1492017477	453
1492017478	453
1492017479	453
1492017480	453
1492017481	453
1492017482	454
1492017483	454
1492017484	454
1492017485	454
1492017486	454
1492017488	453
1492017489	454
1492017490	454
1492017491	454
1492017492	454
1492017493	454
1492017494	454
1492017495	454
1492017496	454
1492017497	454
1492017498	454
1492017499	454
1492017500	453
1492017502	453
1492017503	453
1492017504	453
1492017505	453
1492017506	454
1492017507	454
1492017508	454
1492017509	454
1492017510	454
1492017511	454
1492017512	454
1492017513	454
1492017515	454
1492017516	454
1492017517	454
1492017518	454
1492017519	454
1492017520	454
1492017521	454
1492017522	454
1492017523	454
1492017524	454
1492017525	454
1492017526	453
1492017528	454
1492017529	454
1492017530	454
1492017531	454
1492017532	454
1492017533	454
1492017534	454
1492017535	454
1492017536	454
1492017537	454
1492017538	454
1492017539	454
1492017541	454
1492017542	454
1492017543	454
1492017544	454
1492017545	454
1492017546	454
1492017547	453
1492017548	453
1492017549	453
1492017550	453
1492017551	454
1492017552	454
1492017553	454
1492017555	454
1492017556	454
1492017557	454
1492017558	453
1492017559	453
1492017560	453
1492017561	453
1492017562	453
1492017563	453
1492017564	453
1492017565	453
1492017566	453
1492017568	453
1492017569	453
1492017570	453
1492017571	453
1492017572	453
1492017573	453
1492017574	453
1492017575	453
1492017576	453
1492017577	453
1492017578	453
1492017579	453
1492017581	453
1492017582	453
1492017583	453
1492017584	453
1492017585	453
1492017586	453
1492017587	453
1492017588	453
1492017589	453
1492017590	453
1492017591	453
1492017592	453
1492017594	453
1492017595	453
1492017596	453
1492017597	453
1492017598	453
1492017599	453
1492017600	452
1492017601	452
1492017602	452
1492017603	452
1492017604	452
1492017605	453
1492017606	453
1492017607	453
1492017609	452
1492017610	452
1492017611	452
1492017612	452
1492017613	452
1492017614	452
1492017615	452
1492017616	452
1492017617	452
1492017618	452
1492017619	452
1492017620	453
1492017621	453
1492017623	453
1492017624	452
1492017625	452
1492017626	452
1492017627	452
1492017628	452
1492017629	452
1492017630	452
1492017631	451
1492017632	451
1492017633	451
1492017634	450
1492017635	451
1492017637	451
1492017638	451
1492017639	451
1492017640	451
1492017641	451
1492017642	451
1492017643	451
1492017644	451
1492017645	451
1492017646	451
1492017647	451
1492017648	451
1492017650	451
1492017651	451
1492017652	451
1492017653	451
1492017654	451
1492017655	451
1492017656	451
1492017657	451
1492017658	450
1492017659	451
1492017660	451
1492017661	451
1492017663	451
1492017664	451
1492017665	451
1492017666	451
1492017667	451
1492017668	451
1492017669	451
1492017670	451
1492017671	451
1492017672	451
1492017673	451
1492017674	451
1492017675	451
1492017677	451
1492017678	451
1492017679	451
1492017680	451
1492017681	451
1492017682	451
1492017683	451
1492017684	451
1492017685	451
1492017686	451
1492017687	451
1492017688	451
1492017690	451
1492017691	451
1492017692	451
1492017693	451
1492017694	451
1492017695	451
1492017696	451
1492017697	451
1492017698	451
1492017699	451
1492017700	450
1492017701	450
1492017703	450
1492017704	450
1492017705	450
1492017706	450
1492017707	450
1492017708	450
1492017709	450
1492017710	450
1492017711	450
1492017712	450
1492017713	450
1492017714	450
1492017715	450
1492017717	450
1492017718	450
1492017719	450
1492017720	450
1492017721	450
1492017722	450
1492017723	450
1492017724	450
1492017725	451
1492017726	451
1492017727	451
1492017728	451
1492017730	451
1492017731	451
1492017732	451
1492017733	451
1492017734	451
1492017735	451
1492017736	451
1492017737	451
1492017738	450
1492017739	450
1492017740	450
1492017741	450
1492017742	450
1492017744	450
1492017745	450
1492017746	450
1492017747	450
1492017748	450
1492017749	450
1492017750	451
1492017751	451
1492017752	451
1492017753	451
1492017754	451
1492017755	451
1492017756	450
1492017758	450
1492017759	450
1492017760	450
1492017761	450
1492017762	450
1492017763	450
1492017764	450
1492017765	451
1492017766	450
1492017767	450
1492017768	450
1492017769	450
1492017770	450
1492017772	450
1492017773	450
1492017774	450
1492017775	450
1492017776	450
1492017777	450
1492017778	450
1492017779	450
1492017780	449
1492017781	449
1492017782	449
1492017783	449
1492017785	449
1492017786	449
1492017787	449
1492017788	449
1492017789	449
1492017790	449
1492017791	449
1492017792	450
1492017793	450
1492017794	450
1492017795	449
1492017796	449
1492017797	449
1492017798	449
1492017800	450
1492017801	450
1492017802	450
1492017803	450
1492017804	450
1492017805	450
1492017806	450
1492017807	450
1492017808	450
1492017809	449
1492017810	449
1492017811	449
1492017813	449
1492017814	449
1492017815	449
1492017816	449
1492017817	449
1492017818	449
1492017819	449
1492017820	449
1492017821	449
1492017822	449
1492017823	449
1492017825	449
1492017826	449
1492017827	449
1492017828	449
1492017829	449
1492017830	449
1492017831	449
1492017832	449
1492017833	449
1492017834	449
1492017835	449
1492017836	449
1492017837	449
1492017839	449
1492017840	449
1492017841	449
1492017842	449
1492017843	449
1492017844	449
1492017845	449
1492017846	449
1492017847	449
1492017848	448
1492017849	448
1492017850	448
1492017852	448
1492017853	448
1492017854	448
1492017855	448
1492017856	448
1492017857	448
1492017858	448
1492017859	448
1492017860	448
1492017861	448
1492017862	448
1492017863	448
1492017865	448
1492017866	448
1492017867	448
1492017868	448
1492017869	448
1492017870	448
1492017871	448
1492017872	448
1492017873	448
1492017874	448
1492017875	448
1492017876	448
1492017877	449
1492017879	449
1492017880	449
1492017881	449
1492017882	449
1492017883	449
1492017884	449
1492017885	449
1492017886	449
1492017887	449
1492017888	449
1492017889	449
1492017890	449
1492017891	449
1492017893	449
1492017894	449
1492017895	449
1492017896	449
1492017897	449
1492017898	449
1492017899	449
1492017900	449
1492017901	449
1492017902	449
1492017903	449
1492017904	449
1492017905	449
1492017907	449
1492017908	449
1492017909	449
1492017910	449
1492017911	449
1492017912	449
1492017913	449
1492017914	449
1492017915	449
1492017916	449
1492017917	449
1492017918	449
1492017919	449
1492017920	449
1492017922	449
1492017923	449
1492017924	449
1492017925	449
1492017926	449
1492017927	449
1492017928	449
1492017929	449
1492017930	449
1492017931	449
1492017932	449
1492017933	449
1492017935	449
1492017936	449
1492017937	449
1492017938	449
1492017939	449
1492017940	449
1492017941	449
1492017942	449
1492017943	449
1492017944	449
1492017945	449
1492017946	449
1492017948	449
1492017949	449
1492017950	449
1492017951	449
1492017952	449
1492017953	449
1492017954	449
1492017955	449
1492017956	449
1492017957	449
1492017958	449
1492017959	449
1492017961	449
1492017962	449
1492017963	449
1492017964	449
1492017965	449
1492017966	449
1492017967	449
1492017968	449
1492017969	449
1492017970	449
1492017971	449
1492017972	449
1492017974	449
1492017975	449
1492017976	449
1492017977	449
1492017978	449
1492017979	449
1492017980	449
1492017981	449
1492017982	449
1492017983	449
1492017984	449
1492017985	449
1492017987	449
1492017988	449
1492017989	450
1492017990	450
1492017991	450
1492017992	449
1492017993	449
1492017994	449
1492017995	449
1492017996	449
1492017997	449
1492017998	449
1492018000	449
1492018001	449
1492018002	449
1492018003	449
1492018004	449
1492018005	449
1492018006	449
1492018007	449
1492018008	450
1492018009	450
1492018010	450
1492018011	450
1492018012	450
1492018014	450
1492018015	450
1492018016	449
1492018017	449
1492018018	449
1492018019	450
1492018020	450
1492018021	450
1492018022	450
1492018023	450
1492018024	450
1492018025	450
1492018027	450
1492018028	450
1492018029	450
1492018030	450
1492018031	450
1492018032	450
1492018033	450
1492018034	450
1492018035	450
1492018036	450
1492018037	450
1492018038	451
1492018039	451
1492018041	451
1492018042	451
1492018043	451
1492018044	451
1492018045	451
1492018046	451
1492018047	451
1492018048	451
1492018049	451
1492018050	451
1492018051	451
1492018052	451
1492018053	451
1492018054	451
1492018056	451
1492018057	451
1492018058	451
1492018059	451
1492018060	451
1492018061	452
1492018062	452
1492018063	452
1492018064	452
1492018065	452
1492018066	452
1492018067	452
1492018069	452
1492018070	452
1492018071	452
1492018072	452
1492018073	452
1492018074	452
1492018075	452
1492018076	452
1492018077	452
1492018078	452
1492018079	452
1492018080	452
1492018082	452
1492018083	452
1492018084	452
1492018085	452
1492018086	452
1492018087	452
1492018088	452
1492018089	452
1492018090	452
1492018091	452
1492018092	452
1492018093	452
1492018095	452
1492018096	452
1492018097	452
1492018098	452
1492018099	452
1492018100	452
1492018101	452
1492018102	452
1492018103	452
1492018104	453
1492018105	453
1492018106	453
1492018108	453
1492018109	453
1492018110	453
1492018111	453
1492018112	454
1492018113	454
1492018114	454
1492018115	454
1492018116	453
1492018117	453
1492018118	453
1492018119	453
1492018120	453
1492018122	453
1492018123	453
1492018124	453
1492018125	453
1492018126	453
1492018127	453
1492018128	453
1492018129	453
1492018130	453
1492018131	453
1492018132	453
1492018133	453
1492018134	453
1492018136	453
1492018137	453
1492018138	453
1492018139	453
1492018140	453
1492018141	453
1492018142	453
1492018143	453
1492018144	453
1492018145	453
1492018146	453
1492018147	453
1492018149	453
1492018150	453
1492018151	453
1492018152	453
1492018153	453
1492018154	453
1492018155	453
1492018156	453
1492018157	453
1492018158	453
1492018159	453
1492018160	453
1492018162	453
1492018163	453
1492018164	453
1492018165	454
1492018166	454
1492018167	454
1492018168	454
1492018169	454
1492018170	454
1492018171	454
1492018172	454
1492018173	454
1492018174	454
1492018175	454
1492018177	454
1492018178	454
1492018179	453
1492018180	453
1492018181	453
1492018182	453
1492018183	453
1492018184	453
1492018185	453
1492018186	453
1492018187	453
1492018188	453
1492018189	453
1492018191	453
1492018192	453
1492018193	453
1492018194	453
1492018195	453
1492018196	453
1492018197	453
1492018198	453
1492018199	453
1492018200	453
1492018201	453
1492018202	453
1492018204	453
1492018205	453
1492018206	453
1492018207	454
1492018208	454
1492018209	454
1492018210	454
1492018211	454
1492018212	454
1492018213	454
1492018214	453
1492018215	453
1492018217	453
1492018218	453
1492018219	453
1492018220	453
1492018221	453
1492018222	453
1492018223	453
1492018224	454
1492018225	453
1492018226	453
1492018227	453
1492018228	453
1492018229	453
1492018230	453
1492018232	453
1492018233	453
1492018234	453
1492018235	453
1492018236	453
1492018237	453
1492018238	453
1492018239	453
1492018240	453
1492018241	453
1492018242	453
1492018243	453
1492018244	453
1492018246	453
1492018247	453
1492018248	453
1492018249	453
1492018250	453
1492018251	453
1492018252	453
1492018253	453
1492018254	453
1492018255	453
1492018256	453
1492018257	453
1492018259	453
1492018260	453
1492018261	453
1492018262	453
1492018263	453
1492018264	453
1492018265	452
1492018266	452
1492018267	452
1492018268	453
1492018269	453
1492018270	453
1492018272	453
1492018273	453
1492018274	452
1492018275	453
1492018276	452
1492018277	452
1492018278	452
1492018279	452
1492018280	452
1492018281	452
1492018282	452
1492018283	452
1492018284	452
1492018286	452
1492018287	452
1492018288	452
1492018289	452
1492018290	452
1492018291	452
1492018292	452
1492018293	452
1492018294	451
1492018295	451
1492018296	451
1492018297	451
1492018299	451
1492018300	451
1492018301	451
1492018302	451
1492018303	451
1492018304	451
1492018305	451
1492018306	451
1492018307	451
1492018308	451
1492018309	451
1492018310	451
1492018312	451
1492018313	451
1492018314	451
1492018315	451
1492018316	451
1492018317	452
1492018318	453
1492018319	453
1492018320	453
1492018321	454
1492018322	454
1492018323	454
1492018324	454
1492018326	454
1492018327	454
1492018328	454
1492018329	453
1492018330	453
1492018331	453
1492018332	452
1492018333	452
1492018334	452
1492018335	452
1492018336	452
1492018337	452
1492018338	452
1492018340	452
1492018341	452
1492018342	452
1492018343	452
1492018344	451
1492018345	451
1492018346	450
1492018347	450
1492018348	450
1492018349	450
1492018350	449
1492018352	449
1492018353	449
1492018354	449
1492018355	449
1492018356	449
1492018357	449
1492018358	449
1492018359	450
1492018360	450
1492018361	450
1492018362	449
1492018363	450
1492018364	449
1492018365	449
1492018367	449
1492018368	449
1492018369	449
1492018370	449
1492018371	449
1492018372	449
1492018373	450
1492018374	450
1492018375	449
1492018376	449
1492018377	449
1492018378	449
1492018379	449
1492018381	449
1492018382	449
1492018383	449
1492018384	449
1492018385	449
1492018386	449
1492018387	449
1492018388	449
1492018389	449
1492018390	449
1492018391	449
1492018392	449
1492018394	449
1492018395	449
1492018396	449
1492018397	449
1492018398	449
1492018399	449
1492018400	449
1492018401	449
1492018402	449
1492018403	449
1492018404	449
1492018405	449
1492018407	449
1492018408	449
1492018409	449
1492018410	449
1492018411	449
1492018412	449
1492018413	449
1492018414	449
1492018415	449
1492018416	449
1492018417	449
1492018418	449
1492018419	449
1492018421	449
1492018422	449
1492018423	449
1492018424	449
1492018425	449
1492018426	449
1492018427	449
1492018428	449
1492018429	449
1492018430	449
1492018431	448
1492018432	448
1492018434	449
1492018435	449
1492018436	449
1492018437	449
1492018438	449
1492018439	449
1492018440	449
1492018441	449
1492018442	449
1492018443	449
1492018444	449
1492018445	449
1492018446	449
1492018448	449
1492018449	449
1492018450	449
1492018451	449
1492018452	449
1492018453	449
1492018454	449
1492018455	448
1492018456	448
1492018457	448
1492018458	448
1492018459	448
1492018460	448
1492018462	448
1492018463	448
1492018464	448
1492018465	447
1492018466	447
1492018467	447
1492018468	447
1492018469	447
1492018470	447
1492018471	447
1492018472	447
1492018473	447
1492018475	447
1492018476	447
1492018477	447
1492018478	447
1492018479	448
1492018480	448
1492018481	448
1492018482	448
1492018483	448
1492018484	448
1492018485	448
1492018486	448
1492018487	448
1492018489	448
1492018490	448
1492018491	448
1492018492	448
1492018493	448
1492018494	447
1492018495	447
1492018496	447
1492018497	447
1492018498	447
1492018499	448
1492018500	447
1492018501	446
1492018503	446
1492018504	446
1492018505	446
1492018506	445
1492018507	445
1492018508	445
1492018509	445
1492018510	445
1492018511	445
1492018512	445
1492018513	445
1492018514	445
1492018516	445
1492018517	445
1492018518	445
1492018519	445
1492018520	445
1492018521	445
1492018522	445
1492018523	445
1492018524	445
1492018525	445
1492018526	445
1492018527	445
1492018529	445
1492018530	445
1492018531	445
1492018532	445
1492018533	446
1492018534	446
1492018535	446
1492018536	446
1492018537	446
1492018538	446
1492018539	446
1492018540	446
1492018542	446
1492018543	446
1492018544	446
1492018545	446
1492018546	446
1492018547	446
1492018548	446
1492018549	446
1492018550	446
1492018551	446
1492018552	446
1492018553	446
1492018554	445
1492018556	445
1492018557	445
1492018558	445
1492018559	445
1492018560	445
1492018561	445
1492018562	445
1492018563	445
1492018564	445
1492018565	446
1492018566	446
1492018567	446
1492018568	446
1492018570	446
1492018571	446
1492018572	446
1492018573	446
1492018574	446
1492018575	446
1492018576	445
1492018577	445
1492018578	445
1492018579	445
1492018580	445
1492018581	445
1492018583	445
1492018584	445
1492018585	445
1492018586	445
1492018587	445
1492018588	445
1492018589	445
1492018590	445
1492018591	445
1492018592	445
1492018593	445
1492018594	445
1492018595	445
1492018597	445
1492018598	445
1492018599	445
1492018600	445
1492018601	445
1492018602	445
1492018603	445
1492018604	445
1492018605	445
1492018606	445
1492018607	445
1492018608	445
1492018609	445
1492018611	445
1492018612	445
1492018613	445
1492018614	445
1492018615	445
1492018616	445
1492018617	445
1492018618	445
1492018619	446
1492018620	446
1492018621	446
1492018622	446
1492018623	446
1492018625	446
1492018626	446
1492018627	446
1492018628	446
1492018629	446
1492018630	446
1492018631	446
1492018632	446
1492018633	445
1492018634	445
1492018635	445
1492018637	445
1492018638	445
1492018639	445
1492018640	445
1492018641	445
1492018642	445
1492018643	445
1492018644	445
1492018645	445
1492018646	445
1492018647	445
1492018648	445
1492018649	445
1492018651	445
1492018652	445
1492018653	445
1492018654	445
1492018655	445
1492018656	445
1492018657	445
1492018658	445
1492018659	445
1492018660	445
1492018661	445
1492018662	445
1492018664	445
1492018665	445
1492018666	445
1492018667	445
1492018668	445
1492018669	445
1492018670	445
1492018671	445
1492018672	445
1492018673	445
1492018674	445
1492018675	445
1492018677	445
1492018678	445
1492018679	445
1492018680	445
1492018681	445
1492018682	445
1492018683	445
1492018684	445
1492018685	445
1492018686	445
1492018687	445
1492018688	445
1492018689	445
1492018690	445
1492018692	445
1492018693	445
1492018694	445
1492018695	445
1492018696	445
1492018697	445
1492018698	445
1492018699	445
1492018700	445
1492018701	445
1492018702	445
1492018703	445
1492018705	445
1492018706	445
1492018707	445
1492018708	445
1492018709	445
1492018710	445
1492018711	444
1492018712	444
1492018713	444
