Co2 Data from 2017/4/12 17:17:5
Sensor is K30 FR from Co2meter.com, In Grey Box

Time(Unix)	Co2(ppm)
1492017425	458
1492017426	458
1492017426	457
1492017427	456
1492017428	457
1492017428	457
1492017429	457
1492017429	458
1492017430	457
1492017430	457
1492017431	456
1492017432	456
1492017432	456
1492017433	456
1492017433	456
1492017434	456
1492017434	457
1492017435	456
1492017436	456
1492017436	455
1492017437	455
1492017437	455
1492017438	455
1492017438	456
1492017439	460
1492017440	459
1492017440	459
1492017441	459
1492017441	459
1492017442	458
1492017442	458
1492017443	458
1492017444	459
1492017444	459
1492017445	459
1492017445	458
1492017446	458
1492017447	458
1492017447	458
1492017448	458
1492017448	458
1492017449	459
1492017449	459
1492017450	459
1492017451	459
1492017451	458
1492017452	457
1492017452	456
1492017453	457
1492017453	457
1492017454	458
1492017455	458
1492017455	458
1492017456	457
1492017456	457
1492017457	455
1492017457	454
1492017458	455
1492017459	455
1492017459	455
1492017460	456
1492017460	456
1492017461	456
1492017461	456
1492017462	455
1492017463	454
1492017463	455
1492017464	455
1492017464	456
1492017465	458
1492017465	458
1492017466	457
1492017467	457
1492017467	455
1492017468	455
1492017468	455
1492017469	456
1492017470	458
1492017470	458
1492017471	457
1492017471	457
1492017472	456
1492017473	456
1492017473	456
1492017474	456
1492017474	457
1492017475	457
1492017475	457
1492017476	457
1492017477	457
1492017477	454
1492017478	454
1492017478	454
1492017479	454
1492017479	454
1492017480	455
1492017481	455
1492017481	455
1492017482	454
1492017482	454
1492017483	454
1492017483	454
1492017484	454
1492017485	455
1492017485	455
1492017486	455
1492017486	455
1492017487	455
1492017487	455
1492017488	455
1492017489	455
1492017489	456
1492017490	457
1492017490	457
1492017491	456
1492017492	455
1492017492	455
1492017493	455
1492017493	455
1492017494	456
1492017494	458
1492017495	458
1492017496	458
1492017496	457
1492017497	457
1492017497	457
1492017498	457
1492017498	458
1492017499	459
1492017500	460
1492017500	459
1492017501	459
1492017501	458
1492017502	458
1492017503	458
1492017503	459
1492017504	460
1492017504	462
1492017505	462
1492017505	461
1492017506	460
1492017507	460
1492017507	460
1492017508	460
1492017508	461
1492017509	461
1492017509	461
1492017510	461
1492017511	460
1492017511	460
1492017512	460
1492017512	461
1492017513	462
1492017513	462
1492017514	462
1492017515	462
1492017515	461
1492017516	460
1492017516	460
1492017517	461
1492017518	461
1492017518	462
1492017519	462
1492017519	461
1492017520	459
1492017520	458
1492017521	459
1492017522	458
1492017522	459
1492017523	459
1492017523	459
1492017524	459
1492017524	458
1492017525	458
1492017526	458
1492017526	459
1492017527	459
1492017527	461
1492017528	461
1492017528	460
1492017529	459
1492017530	459
1492017530	458
1492017531	458
1492017531	459
1492017532	461
1492017533	461
1492017533	461
1492017534	460
1492017534	460
1492017535	459
1492017535	459
1492017536	460
1492017537	461
1492017537	461
1492017538	461
1492017538	459
1492017539	459
1492017539	458
1492017540	459
1492017541	459
1492017541	461
1492017542	462
1492017542	462
1492017543	462
1492017544	461
1492017544	460
1492017545	460
1492017545	460
1492017546	461
1492017546	463
1492017547	463
1492017548	462
1492017548	462
1492017549	461
1492017549	460
1492017550	460
1492017550	461
1492017551	462
1492017552	462
1492017552	462
1492017553	462
1492017553	461
1492017554	460
1492017554	460
1492017555	460
1492017556	461
1492017556	461
1492017557	461
1492017557	461
1492017558	461
1492017558	459
1492017559	459
1492017560	459
1492017560	459
1492017561	460
1492017561	460
1492017562	460
1492017562	460
1492017563	459
1492017564	459
1492017564	459
1492017565	459
1492017565	460
1492017566	462
1492017567	462
1492017567	461
1492017568	459
1492017568	458
1492017569	459
1492017570	459
1492017570	461
1492017571	462
1492017571	462
1492017572	462
1492017572	462
1492017573	461
1492017574	462
1492017574	462
1492017575	462
1492017575	463
1492017576	463
1492017576	463
1492017577	463
1492017578	461
1492017578	461
1492017579	461
1492017579	462
1492017580	463
1492017580	463
1492017581	462
1492017582	462
1492017582	461
1492017583	461
1492017583	461
1492017584	463
1492017584	465
1492017585	465
1492017586	464
1492017586	463
1492017587	462
1492017587	462
1492017588	463
1492017588	463
1492017589	464
1492017590	463
1492017590	463
1492017591	462
1492017591	461
1492017592	461
1492017592	461
1492017593	462
1492017594	462
1492017594	462
1492017595	462
1492017595	461
1492017596	461
1492017597	461
1492017597	462
1492017598	463
1492017598	462
1492017599	462
1492017599	462
1492017600	461
1492017601	461
1492017601	462
1492017602	464
1492017602	464
