Co2 Data from 2017/4/7 8:30:32
Sensor is K30 FR from Co2meter.com, In Blue Box

Time(Unix)	Co2(ppm)
1491553832	435
1491553833	435
1491553834	435
1491553835	436
1491553836	436
1491553837	436
1491553838	436
1491553840	436
1491553841	436
1491553842	436
1491553843	436
1491553844	436
1491553845	436
1491553846	437
1491553847	437
1491553848	437
1491553849	438
1491553850	438
1491553851	438
1491553853	439
1491553854	439
1491553855	439
1491553856	439
1491553857	439
1491553858	439
1491553859	439
1491553860	439
1491553861	439
1491553862	439
1491553863	440
1491553864	440
1491553865	441
1491553867	443
1491553868	447
1491553869	451
1491553870	454
1491553871	456
1491553872	458
1491553873	459
1491553874	460
1491553875	462
1491553876	462
1491553877	461
1491553878	461
1491553880	461
1491553881	462
1491553882	464
1491553883	466
1491553884	467
1491553885	467
1491553886	466
1491553887	466
1491553888	465
1491553889	464
1491553890	463
1491553891	462
1491553893	460
1491553894	459
1491553895	457
1491553896	456
1491553897	455
1491553898	453
1491553899	452
1491553900	450
1491553901	449
1491553902	448
1491553903	448
1491553904	447
1491553906	447
1491553907	447
1491553908	447
1491553909	447
1491553910	447
1491553911	446
1491553912	446
1491553913	446
1491553914	445
1491553915	445
1491553916	445
1491553917	444
1491553918	444
1491553920	444
1491553921	437
1491553922	642
1491553923	552
1491553924	337
1491553925	388
1491553926	414
1491553927	442
1491553928	440
1491553929	308
1491553930	351
1491553931	345
1491553933	713
1491553934	583
1491553935	603
1491553936	468
1491553937	405
1491553938	415
1491553939	583
1491553940	65528
1491553941	155
1491553942	171
1491553943	242
1491553944	410
1491553946	368
1491553947	65422
1491553948	10
1491553949	176
1491553950	444
1491553951	65423
1491553952	65518
1491553953	65518
1491553954	65518
1491553956	1238
1491553957	741
1491553958	421
1491553959	713
1491553960	713
1491553961	1149
1491553962	1122
1491553963	493
1491553964	719
1491553965	719
1491553966	226
1491553967	698
1491553968	73
1491553970	158
1491553971	248
1491553972	449
1491553973	1061
1491553974	1371
1491553975	857
1491553976	687
1491553977	547
1491553978	121
1491553979	458
1491553980	65491
1491553982	65513
1491553983	50
1491553984	127
1491553985	193
1491553986	193
1491553987	99
1491553988	373
1491553989	382
1491553990	810
1491553991	2035
1491553992	786
1491553994	915
1491553995	3488
1491553996	3488
1491553997	6679
1491553998	2170
1491553999	2370
1491554000	2850
1491554001	3167
1491554002	2252
1491554003	2252
1491554004	3436
1491554006	5084
1491554007	3043
1491554008	1689
1491554009	740
1491554010	753
1491554011	4922
1491554012	2543
1491554013	1787
1491554014	370
1491554015	749
1491554016	16
1491554017	91
1491554019	210
1491554020	96
1491554021	102
1491554022	556
1491554023	471
1491554024	654
1491554025	1710
1491554026	3708
1491554027	6920
1491554028	3342
1491554030	5904
1491554031	4815
1491554032	1889
1491554033	3252
1491554034	1061
1491554035	2466
1491554036	4517
1491554037	4517
1491554038	3020
1491554039	3020
1491554040	1726
1491554041	766
1491554043	2461
1491554044	5080
1491554045	2708
1491554046	1838
1491554047	2044
1491554048	59
1491554049	814
1491554050	434
1491554051	438
1491554052	1654
1491554053	1451
1491554054	1706
1491554056	468
1491554057	564
1491554058	1171
1491554059	1289
1491554060	1289
1491554061	782
1491554062	581
1491554063	1157
1491554064	965
1491554065	3059
1491554066	901
1491554068	25
1491554069	25
1491554070	25
1491554071	65459
1491554072	77
1491554073	1072
1491554074	3024
1491554075	1112
1491554076	1061
1491554077	1107
1491554078	2127
1491554080	2183
1491554081	855
1491554082	840
1491554083	685
1491554084	304
1491554085	1248
1491554086	1248
1491554087	951
1491554088	1173
1491554089	2640
