Local time, Altitude (m MSL), Altitude (m AGL), Pressure (Pascal), Speed (m/s), Heading (degrees), Temperature (C), Relative humidity (%), Internal temperature (C), Latitude, Longitude, Rise speed (m/s)
07:58:40, 387, 30, 98604, 0.00, 246.40, 3.74, 87.23, 4.6, 34.982855, -97.520818, 0.4
07:58:41, 389, 32, 98588, 0.00, 261.00, 3.78, 87.05, 4.6, 34.982855, -97.520820, 0.5
07:58:45, 390, 33, 98570, 0.00, 278.20, 3.94, 86.38, 4.7, 34.982855, -97.520822, 0.5
07:58:50, 393, 36, 98534, 0.00, 338.10, 4.14, 85.68, 4.8, 34.982855, -97.520823, 0.5
07:58:51, 394, 37, 98530, 0.00, 42.80, 4.20, 85.49, 4.8, 34.982855, -97.520823, 0.6
07:58:52, 394, 37, 98530, 0.00, 87.30, 4.24, 85.39, 4.8, 34.982855, -97.520823, 0.5
07:58:54, 395, 38, 98510, 0.00, 47.90, 4.34, 85.09, 4.8, 34.982855, -97.520822, 0.5
07:58:55, 396, 39, 98508, 0.00, 346.10, 4.40, 84.91, 4.9, 34.982857, -97.520822, 0.5
07:58:56, 396, 39, 98504, 0.00, 344.80, 4.46, 84.75, 4.9, 34.982857, -97.520822, 0.5
07:58:58, 398, 41, 98486, 0.00, 185.30, 4.60, 84.55, 5.0, 34.982857, -97.520822, 0.6
07:58:59, 398, 41, 98484, 0.00, 192.90, 4.66, 84.43, 5.0, 34.982855, -97.520822, 0.5
07:59:00, 399, 42, 98474, 0.00, 202.20, 4.74, 84.27, 5.0, 34.982855, -97.520822, 0.5
07:59:01, 399, 42, 98470, 0.00, 213.40, 4.82, 84.12, 5.1, 34.982855, -97.520822, 0.5
07:59:02, 398, 41, 98478, 0.00, 177.30, 4.88, 83.97, 5.2, 34.982855, -97.520822, 0.5
07:59:03, 399, 42, 98466, 0.00, 124.80, 4.96, 83.81, 5.2, 34.982855, -97.520822, 0.4
07:59:05, 400, 43, 98452, 0.00, 112.50, 5.02, 83.65, 5.2, 34.982855, -97.520822, 0.5
07:59:05, 401, 44, 98444, 0.00, 96.20, 5.10, 83.43, 5.3, 34.982855, -97.520822, 0.6
07:59:06, 402, 45, 98436, 0.00, 75.60, 5.16, 83.23, 5.3, 34.982855, -97.520822, 0.5
07:59:07, 402, 45, 98434, 0.00, 27.90, 5.22, 83.03, 5.4, 34.982855, -97.520822, 0.5
07:59:08, 402, 45, 98430, 0.00, 17.00, 5.28, 82.79, 5.4, 34.982855, -97.520822, 0.5
07:59:09, 403, 46, 98422, 0.00, 38.30, 5.34, 82.56, 5.5, 34.982855, -97.520822, 0.5
07:59:10, 405, 48, 98402, 0.00, 32.70, 5.42, 82.30, 5.5, 34.982855, -97.520822, 0.6
07:59:11, 404, 47, 98406, 0.00, 205.50, 5.46, 82.07, 5.5, 34.982855, -97.520822, 0.5
07:59:12, 404, 47, 98408, 0.00, 105.60, 5.52, 81.78, 5.6, 34.982855, -97.520822, 0.5
07:59:13, 405, 48, 98398, 0.00, 95.60, 5.54, 81.55, 5.6, 34.982855, -97.520822, 0.5
07:59:14, 405, 48, 98392, 0.00, 111.10, 5.58, 81.31, 5.7, 34.982855, -97.520822, 0.5
