Local time, Altitude (m MSL), Altitude (m AGL), Pressure (Pascal), Speed (m/s), Heading (degrees), Temperature (C), Relative humidity (%), Internal temperature (C), Latitude, Longitude, Rise speed (m/s)
08:23:12, 390, 33, 98570, 0.10, 282.90, 3.82, 84.69, 6.7, 34.982850, -97.520772, 0.4
08:23:13, 391, 34, 98562, 0.00, 283.90, 3.82, 84.66, 6.7, 34.982850, -97.520770, 0.5
08:23:14, 392, 35, 98550, 0.00, 145.40, 3.84, 84.56, 6.6, 34.982850, -97.520770, 0.5
08:23:15, 392, 35, 98554, 0.00, 159.00, 3.86, 84.48, 6.6, 34.982848, -97.520770, 0.5
08:23:16, 393, 36, 98536, 0.00, 220.10, 3.90, 84.40, 6.6, 34.982848, -97.520770, 0.5
08:23:17, 393, 36, 98542, 0.00, 317.40, 3.92, 84.33, 6.6, 34.982850, -97.520772, 0.4
08:23:18, 394, 37, 98530, 0.00, 320.50, 3.92, 84.31, 6.6, 34.982852, -97.520773, 0.5
08:23:19, 394, 37, 98524, 0.00, 320.50, 3.94, 84.23, 6.6, 34.982852, -97.520773, 0.5
08:23:20, 395, 38, 98514, 0.00, 348.30, 3.94, 84.15, 6.6, 34.982853, -97.520773, 0.5
08:23:21, 396, 39, 98504, 0.00, 29.20, 3.96, 84.10, 6.6, 34.982855, -97.520773, 0.6
08:23:22, 395, 38, 98510, 0.10, 28.20, 3.98, 84.02, 6.6, 34.982853, -97.520773, 0.5
08:23:23, 396, 39, 98498, 0.10, 48.70, 4.00, 83.94, 6.6, 34.982855, -97.520772, 0.5
08:23:24, 397, 40, 98496, 0.00, 48.70, 4.04, 83.89, 6.6, 34.982857, -97.520772, 0.4
08:23:25, 397, 40, 98490, 0.10, 274.40, 4.06, 83.91, 6.6, 34.982855, -97.520772, 0.5
08:23:26, 398, 41, 98478, 0.20, 311.30, 4.08, 83.85, 6.6, 34.982855, -97.520773, 0.5
08:23:27, 399, 42, 98474, 0.30, 311.30, 4.12, 83.77, 6.6, 34.982857, -97.520775, 0.5
08:23:28, 399, 42, 98466, 0.00, 356.70, 4.14, 83.72, 6.6, 34.982857, -97.520775, 0.6
08:23:29, 400, 43, 98456, 0.00, 57.60, 4.18, 83.66, 6.6, 34.982857, -97.520775, 0.5
08:23:30, 400, 43, 98454, 0.00, 182.90, 4.22, 83.64, 6.6, 34.982855, -97.520775, 0.6
08:23:31, 401, 44, 98450, 0.10, 184.40, 4.24, 83.62, 6.6, 34.982855, -97.520775, 0.5
08:23:32, 401, 44, 98446, 0.00, 154.70, 4.30, 83.57, 6.6, 34.982853, -97.520775, 0.5
08:23:33, 402, 45, 98434, 0.00, 164.60, 4.32, 83.52, 6.6, 34.982853, -97.520775, 0.5
08:23:34, 403, 46, 98422, 0.00, 172.20, 4.36, 83.47, 6.6, 34.982852, -97.520775, 0.6
08:23:35, 404, 47, 98410, 0.00, 297.80, 4.40, 83.46, 6.6, 34.982852, -97.520775, 0.6
08:23:36, 403, 46, 98418, 0.00, 332.50, 4.44, 83.38, 6.6, 34.982852, -97.520775, 0.5
08:23:37, 404, 47, 98412, 0.00, 315.00, 4.46, 83.30, 6.6, 34.982852, -97.520775, 0.5
08:23:38, 404, 47, 98410, 0.00, 151.60, 4.50, 83.20, 6.6, 34.982852, -97.520775, 0.5
08:23:39, 405, 48, 98402, 0.00, 104.00, 4.56, 83.17, 6.6, 34.982852, -97.520775, 0.5
08:23:40, 405, 48, 98392, 0.00, 167.50, 4.60, 83.07, 6.6, 34.982852, -97.520775, 0.5
08:23:41, 406, 49, 98384, 0.00, 206.80, 4.60, 83.02, 6.6, 34.982850, -97.520775, 0.5
08:23:42, 407, 50, 98376, 0.00, 171.30, 4.64, 82.94, 6.6, 34.982850, -97.520775, 0.5
